section,title,key,style,ticker,contribution_ann_%,contribution_total_%,share_of_pnl_%,gross_contribution_ann_%,cost_ann_%,avg_gross_weight,avg_net_weight,days_held_%,long_days_%,short_days_%,ann_turnover_x
3.1,Price-momentum,3.1.price_momentum,momentum,CPRT,0.06381605994401005,0.659179381088326,-4.281390600787033,0.06732050139431237,0.003504441450302328,0.0027921407862311724,0.0010109101117951283,57.89473684210527,39.684978870533996,18.209757971571264,0.07008882900604654
3.1,Price-momentum,3.1.price_momentum,momentum,MSCI,0.06376590453714141,0.6586613075800758,-4.2780256972230335,0.06778464913128238,0.004018744594140981,0.0020593713548279526,0.0008909537151686754,44.90971955436036,29.734921244717633,15.17479830964272,0.0803748918828196
3.1,Price-momentum,3.1.price_momentum,momentum,MU,0.06137289819060716,0.6339430713894858,-4.117479983672801,0.06490488000624363,0.003531981815636486,0.0021681939128048292,0.0009189767772210518,61.813292354975026,43.06569343065693,18.747598924318094,0.07063963631272974
3.1,Price-momentum,3.1.price_momentum,momentum,KLAC,0.060702274446730965,0.627015953908098,-4.072488139986192,0.06543977160092816,0.004737497154197213,0.0024522589618701713,0.0018371676895904026,59.469842489435266,50.51863234729159,8.95121014214368,0.09474994308394426
3.1,Price-momentum,3.1.price_momentum,momentum,EME,0.05752876515220843,0.5942356178222165,-3.859578836638417,0.06139917961645576,0.003870414464247338,0.0024309637947126364,0.001089670207242434,56.70380330388014,42.37418363426816,14.329619669611986,0.07740828928494675
3.1,Price-momentum,3.1.price_momentum,momentum,STLD,0.05457085987370146,0.563682334330337,-3.6611343092180637,0.05950638399555928,0.004935524121857789,0.0023034225556753,0.0011132622857620226,56.62696888205916,39.416058394160586,17.21091048789858,0.09871048243715577
3.1,Price-momentum,3.1.price_momentum,momentum,SWKS,0.054537661009936435,0.5633394111462878,-3.658907012462276,0.05892519647141746,0.0043875354614810345,0.0028043352828108752,-0.0010482141880756722,68.30580099884749,17.748751440645407,50.557049558202074,0.0877507092296207
3.1,Price-momentum,3.1.price_momentum,momentum,AXON,0.053805657593455056,0.5557782806181092,-3.6097972342995845,0.057245583314127095,0.0034399257206720216,0.003081738697969049,0.000513418430033712,76.71917018824433,47.791010372646944,28.928159815597386,0.06879851441344043
3.1,Price-momentum,3.1.price_momentum,momentum,BRO,0.053349131610586964,0.5510626570728486,-3.57916911257315,0.05819777732985289,0.0048486457192659215,0.0030509618884935735,0.0013374109383056953,57.741067998463315,42.14368036880523,15.597387629658085,0.09697291438531841
3.1,Price-momentum,3.1.price_momentum,momentum,MPWR,0.05246711034486635,0.5419519374114568,-3.519994704750673,0.05754985605080879,0.005082745705942431,0.00244598416045891,0.001605486870455984,59.77718017671917,49.32769880906646,10.449481367652709,0.10165491411884862
