ticker,strategies,mean_contribution_ann_pct,best_contribution_ann_pct,worst_contribution_ann_pct,profitable_strategies_pct,avg_gross_weight,avg_net_weight
MPWR,28,0.010056589779128513,0.08682952216556525,-0.07272211391832985,57.14285714285714,0.002516968137475946,0.0011368650878329691
MA,28,0.009114983389849767,0.057077233179859466,-0.07434292181378695,67.85714285714286,0.0022142688267297586,0.001018487334694218
BR,28,0.009099183853196979,0.08757862239926816,-0.05047950642052676,64.28571428571429,0.0023592188864402933,0.0011129284996638966
ZBRA,28,0.008986964222873461,0.1101428610874638,-0.08081115894629738,50.0,0.002345134126229477,0.0007437588290206143
CBOE,28,0.00894349762035956,0.054944562294014766,-0.07830003390481113,71.42857142857143,0.0024421127404447053,0.0012272362263603725
ETR,28,0.0088013951339137,0.10223624147533293,-0.04324407013686876,53.57142857142857,0.002439217893086456,0.0012000253887081939
CTAS,28,0.008652805282842502,0.07692446587696103,-0.07434480691673737,57.14285714285714,0.0024605407178077223,0.001221385717299189
KKR,28,0.008479588022581011,0.08890451876946687,-0.07791373859214212,46.42857142857143,0.002281390090581814,0.0008838075922442504
JBL,28,0.008413481747597098,0.13927905109917482,-0.054472363786050505,42.857142857142854,0.002453370304829842,0.0009638517331707448
INTU,28,0.008323171384878331,0.07837796351965608,-0.07136912585222824,53.57142857142857,0.002226587200028925,0.0009084329463792273
CRH,28,0.008045743038883444,0.0841506084445364,-0.03242529412863622,53.57142857142857,0.002103856923341693,0.000767587786979912
SNPS,28,0.007937177423128508,0.09387876672402061,-0.08494046184197983,53.57142857142857,0.002405215730119704,0.0011047969199593237
DVA,28,0.0074412553487797255,0.08450173994967206,-0.07539505166724368,53.57142857142857,0.0022612582000277833,0.0006814143922424312
CSGP,28,0.007213842981604054,0.08544204801636616,-0.07902184553881228,67.85714285714286,0.0022674265876241775,0.0007172132362356024
NVR,28,0.006985633344533698,0.07369649451365284,-0.10642015235682582,64.28571428571429,0.0022048196372659703,0.0008644561375246537
ACGL,28,0.006984970917959499,0.08529805071842242,-0.07496955583780725,50.0,0.002399379230444394,0.0010191759156407503
DHI,28,0.006932878215717065,0.44314712221929536,-0.07071589069749329,39.285714285714285,0.004975312056819972,0.0011832578657772611
TSCO,28,0.006907543957821893,0.051003692022319025,-0.03746752455998566,64.28571428571429,0.0022258795907034107,0.0008069553257495623
GM,28,0.006835493861959709,0.08916340240094962,-0.06760649122056749,60.71428571428571,0.0021618083724057923,0.000580625517829802
VRTX,28,0.006824477474316128,0.0713602252386979,-0.07631288780361654,57.14285714285714,0.0023866267216821743,0.0008385530271789601
CSCO,28,0.0064256264800135274,0.07082501306402068,-0.08175373519322313,57.14285714285714,0.00218294247789842,0.0008781100872428307
TT,28,0.006330426038175226,0.11913075662754796,-0.0715336475655483,42.857142857142854,0.0022919944670203238,0.0011129573078287817
MSI,28,0.0062679651640131645,0.052905080987341396,-0.0997916469547283,67.85714285714286,0.002349298052102722,0.0012055749383694384
