fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size,combo_weights
32,2017-11-07,2018-11-06,2018-11-07,2018-12-07,252,21,-1.28661373149146,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": -0.1177, ""3.1.price_momentum_long_only"": -0.0113, ""3.4.low_volatility"": 0.17, ""3.6.multifactor"": 0.0935, ""3.9.mean_reversion_single_cluster"": 0.1619, ""3.11.single_moving_average"": -0.0878, ""3.12.two_moving_averages"": -0.0203, ""3.14.support_resistance"": 0.1774, ""3.15.channel"": -0.0749, ""4.4.mean_reversion_ibs"": -0.0471, ""4.6.multi_asset_trend"": -0.0103, ""10.4.trend_following"": -0.0279}"
33,2017-12-07,2018-12-07,2018-12-10,2019-01-09,252,21,-0.09257615471210827,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": -0.1254, ""3.1.price_momentum_long_only"": -0.0355, ""3.4.low_volatility"": 0.1771, ""3.6.multifactor"": 0.1595, ""3.9.mean_reversion_single_cluster"": 0.1293, ""3.11.single_moving_average"": -0.0952, ""3.12.two_moving_averages"": -0.0737, ""3.14.support_resistance"": 0.0526, ""3.15.channel"": -0.1012, ""4.4.mean_reversion_ibs"": -0.0033, ""4.6.multi_asset_trend"": -0.042, ""10.4.trend_following"": -0.0051}"
34,2018-01-09,2019-01-09,2019-01-10,2019-02-08,252,21,-0.3129066822691133,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.0889, ""3.1.price_momentum_long_only"": -0.0328, ""3.4.low_volatility"": 0.0047, ""3.6.multifactor"": 0.0651, ""3.9.mean_reversion_single_cluster"": 0.1163, ""3.11.single_moving_average"": -0.0485, ""3.12.two_moving_averages"": -0.0493, ""3.14.support_resistance"": 0.0702, ""3.15.channel"": -0.0723, ""4.4.mean_reversion_ibs"": 0.3013, ""4.6.multi_asset_trend"": -0.0465, ""10.4.trend_following"": -0.104}"
35,2018-02-08,2019-02-08,2019-02-11,2019-03-12,252,21,-1.2862713244132744,"{""d"": 21, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.0152, ""3.1.price_momentum_long_only"": 0.0368, ""3.4.low_volatility"": -0.0409, ""3.6.multifactor"": 0.1626, ""3.9.mean_reversion_single_cluster"": -0.0417, ""3.11.single_moving_average"": -0.0264, ""3.12.two_moving_averages"": 0.1198, ""3.14.support_resistance"": 0.0589, ""3.15.channel"": 0.0669, ""4.4.mean_reversion_ibs"": 0.2182, ""4.6.multi_asset_trend"": 0.0378, ""10.4.trend_following"": -0.1747}"
36,2018-03-12,2019-03-12,2019-03-13,2019-04-10,252,21,-0.5807572949127944,"{""d"": 21, ""n_factors"": 1}",4,"{""3.1.price_momentum"": 0.0204, ""3.1.price_momentum_long_only"": 0.0879, ""3.4.low_volatility"": 0.0014, ""3.6.multifactor"": 0.1029, ""3.9.mean_reversion_single_cluster"": 0.0611, ""3.11.single_moving_average"": 0.0071, ""3.12.two_moving_averages"": 0.1926, ""3.14.support_resistance"": 0.0892, ""3.15.channel"": 0.1937, ""4.4.mean_reversion_ibs"": 0.1012, ""4.6.multi_asset_trend"": 0.0925, ""10.4.trend_following"": -0.0499}"
37,2018-04-11,2019-04-10,2019-04-11,2019-05-10,252,21,0.014078880682424428,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.0586, ""3.1.price_momentum_long_only"": 0.0758, ""3.4.low_volatility"": -0.0702, ""3.6.multifactor"": 0.0175, ""3.9.mean_reversion_single_cluster"": -0.0227, ""3.11.single_moving_average"": 0.0197, ""3.12.two_moving_averages"": 0.1602, ""3.14.support_resistance"": 0.0699, ""3.15.channel"": 0.1263, ""4.4.mean_reversion_ibs"": 0.1877, ""4.6.multi_asset_trend"": 0.0846, ""10.4.trend_following"": -0.1069}"
38,2018-05-10,2019-05-10,2019-05-13,2019-06-11,252,21,0.03459566010752185,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": -0.1021, ""3.1.price_momentum_long_only"": 0.0824, ""3.4.low_volatility"": 0.0325, ""3.6.multifactor"": -0.1325, ""3.9.mean_reversion_single_cluster"": -0.0987, ""3.11.single_moving_average"": 0.099, ""3.12.two_moving_averages"": 0.1036, ""3.14.support_resistance"": 0.0276, ""3.15.channel"": 0.1049, ""4.4.mean_reversion_ibs"": 0.0696, ""4.6.multi_asset_trend"": 0.1078, ""10.4.trend_following"": -0.0393}"
39,2018-06-11,2019-06-11,2019-06-12,2019-07-11,252,21,-0.5605564576639029,"{""d"": 21, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.206, ""3.1.price_momentum_long_only"": 0.0121, ""3.4.low_volatility"": 0.1399, ""3.6.multifactor"": 0.2514, ""3.9.mean_reversion_single_cluster"": -0.1098, ""3.11.single_moving_average"": 0.0654, ""3.12.two_moving_averages"": 0.0116, ""3.14.support_resistance"": -0.0031, ""3.15.channel"": 0.0066, ""4.4.mean_reversion_ibs"": -0.0767, ""4.6.multi_asset_trend"": 0.0208, ""10.4.trend_following"": 0.0967}"
40,2018-07-11,2019-07-11,2019-07-12,2019-08-09,252,21,0.18385843994060297,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.1255, ""3.1.price_momentum_long_only"": 0.0376, ""3.4.low_volatility"": 0.1489, ""3.6.multifactor"": 0.1907, ""3.9.mean_reversion_single_cluster"": -0.1087, ""3.11.single_moving_average"": 0.1547, ""3.12.two_moving_averages"": 0.0506, ""3.14.support_resistance"": 0.0138, ""3.15.channel"": 0.0111, ""4.4.mean_reversion_ibs"": 0.0835, ""4.6.multi_asset_trend"": 0.0616, ""10.4.trend_following"": 0.0134}"
41,2018-08-09,2019-08-09,2019-08-12,2019-09-10,252,21,0.2345485414889605,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": 0.2065, ""3.1.price_momentum_long_only"": 0.0173, ""3.4.low_volatility"": 0.1105, ""3.6.multifactor"": 0.2385, ""3.9.mean_reversion_single_cluster"": -0.0434, ""3.11.single_moving_average"": 0.0953, ""3.12.two_moving_averages"": 0.0324, ""3.14.support_resistance"": 0.0445, ""3.15.channel"": -0.0058, ""4.4.mean_reversion_ibs"": 0.0464, ""4.6.multi_asset_trend"": 0.031, ""10.4.trend_following"": 0.1284}"
